City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Eberbach,DE,69.58,overcast clouds,49.4694,8.9928,Altes Badhaus
467,Halifax,CA,75.69,broken clouds,44.6453,-63.5724,Hotel Halifax
468,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
471,Kolo,PL,67.53,clear sky,52.2002,18.6387,Noclegi w Kole
475,Sidrolandia,BR,71.51,scattered clouds,-20.9319,-54.9614,Agropet São Francisco
481,Fortuna,US,68.94,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
484,Mweka,CD,70.5,scattered clouds,-4.85,21.5667,Guest House Boshab
488,Bhanvad,IN,79.0,overcast clouds,21.9264,69.7736,Mahalaxmi farshan
489,Sierpc,PL,67.95,clear sky,52.8568,19.6691,"Bar ""MaxiM"" - Restauracja, Catering, Sale Bankietowe, Hotel"
490,Pacific Grove,US,79.25,scattered clouds,36.6177,-121.9166,Lovers Point Inn
491,Cariati,IT,76.8,clear sky,39.4922,16.9594,La Residenza
494,Kishtwar,IN,67.59,light rain,33.3167,75.7667,Heritage Bagh by Himalayan Musk
495,Srivardhan,IN,78.89,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
498,Bougouni,ML,71.28,light rain,11.417,-7.479,Non Stop
499,Belogorsk,RU,69.66,scattered clouds,50.9158,128.4611,Gostinitsa Vostok 2000
500,Coruripe,BR,73.85,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
501,Shellbrook,CA,74.43,broken clouds,53.2168,-106.4011,Shellbrook Hotel
502,Touros,BR,73.9,light rain,-5.1989,-35.4608,INN NEW HORIZON
503,Conceicao Do Araguaia,BR,75.54,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
508,Goure,NE,78.15,overcast clouds,13.9835,10.2704,
510,Ndele,CF,68.22,broken clouds,8.4109,20.6473,
511,Brokopondo,SR,77.2,broken clouds,4.75,-55.1667,Matu Island
515,Puttur,IN,75.31,overcast clouds,12.7667,75.2167,Hotel Super Tower
517,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
519,Waddan,LY,76.57,clear sky,29.1614,16.139,محل الشريف محمد العايب
520,Eureka,US,69.21,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
521,Sao Felix Do Xingu,BR,81.27,broken clouds,-6.6447,-51.995,Rio Xingu Camping
525,Ierapetra,GR,78.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
526,Puerto Quijarro,BO,73.45,clear sky,-17.7833,-57.7667,Hotel palance
527,Manuk Mangkaw,PH,82.69,scattered clouds,4.8,119.85,
528,Lethem,GY,76.05,overcast clouds,3.3803,-59.7968,Savannah Inn
530,Comonfort,MX,79.21,moderate rain,20.7167,-100.7667,El Kiosco Verde
531,Axim,GH,73.13,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
532,Fare,PF,77.63,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
536,Bubaque,GW,76.89,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
537,Nioro,GM,75.18,light rain,13.35,-15.75,
539,Visavadar,IN,77.16,overcast clouds,21.3833,70.6833,Brahmanad Dham Guest House
541,Loiza,PR,84.2,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
542,Merauke,ID,79.56,broken clouds,-8.4667,140.3333,
